,Codigo Piloto,Aerolínea,Origen,Destino,Minutos de retraso,OnTime,Piloto
43,43557,8,HHN,SAP,60,C,Jilles Vlank
44,43557,7,MIA,FLL,-30,A,Jilles Vlank
45,43557,5,MIA,SAP,20,A,Jilles Vlank
48,43558,5,TEG,HAJ,-10,A,Jorge Mej’a
49,43558,8,TEG,HAJ,60,C,Jorge Mej’a
50,43558,6,SAP,MIA,0,A,Jorge Mej’a
51,43558,8,SAP,HHN,-20,A,Jorge Mej’a
53,43558,10,HHN,SAP,30,A,Jorge Mej’a
54,43558,3,TEG,SAP,-40,B,Jorge Mej’a
55,43558,3,HAJ,HHN,40,B,Jorge Mej’a
56,43558,6,FLL,TEG,-60,C,Jorge Mej’a
57,43558,9,MIA,HAJ,0,A,Jorge Mej’a
58,43558,5,SAP,HHN,50,B,Jorge Mej’a
59,43558,2,MIA,SAP,0,A,Jorge Mej’a
60,43558,8,SAP,FLL,30,A,Jorge Mej’a
61,43558,10,SAP,TEG,50,B,Jorge Mej’a
63,43558,2,HAJ,SAP,0,A,Jorge Mej’a
65,43558,8,MIA,SAP,20,A,Jorge Mej’a
66,43558,10,SAP,MIA,-10,A,Jorge Mej’a
67,43558,3,HAJ,TEG,50,B,Jorge Mej’a
68,43558,6,TEG,HHN,40,B,Jorge Mej’a
69,43558,7,MIA,HAJ,30,A,Jorge Mej’a
70,43558,3,SAP,MIA,50,B,Jorge Mej’a
72,43558,9,FLL,MIA,40,B,Jorge Mej’a
73,43558,2,HHN,HAJ,-60,C,Jorge Mej’a
75,43558,1,TEG,HHN,0,A,Jorge Mej’a
76,43558,1,SAP,MIA,-10,A,Jorge Mej’a
77,43558,8,HAJ,FLL,-20,A,Jorge Mej’a
78,43558,6,HAJ,SAP,-80,C,Jorge Mej’a
79,43558,6,MIA,HHN,-40,B,Jorge Mej’a
80,43558,3,HHN,SAP,10,A,Jorge Mej’a
81,43558,3,FLL,TEG,-30,A,Jorge Mej’a
82,43558,6,TEG,FLL,50,B,Jorge Mej’a
83,43558,2,TEG,SAP,40,B,Jorge Mej’a
84,43558,3,FLL,TEG,70,C,Jorge Mej’a
85,43558,3,FLL,SAP,-10,A,Jorge Mej’a
86,43558,9,FLL,HAJ,-60,C,Jorge Mej’a
87,43558,9,SAP,HHN,0,A,Jorge Mej’a
88,43558,10,SAP,FLL,-20,A,Jorge Mej’a
90,43558,9,HAJ,SAP,0,A,Jorge Mej’a
91,43558,5,MIA,SAP,40,B,Jorge Mej’a
92,43558,10,HHN,MIA,70,C,Jorge Mej’a
93,43558,5,FLL,SAP,-70,C,Jorge Mej’a
94,43558,6,SAP,FLL,60,C,Jorge Mej’a
95,43558,4,TEG,SAP,0,A,Jorge Mej’a
96,43558,2,TEG,SAP,-50,B,Jorge Mej’a
97,43559,1,TEG,SAP,0,A,David Colindres
99,43559,7,HAJ,HHN,20,A,David Colindres
100,43559,10,HAJ,HHN,20,A,David Colindres
101,43559,3,MIA,FLL,0,A,David Colindres
102,43559,8,MIA,SAP,20,A,David Colindres
105,43559,3,HAJ,MIA,10,A,David Colindres
106,43559,4,HHN,SAP,20,A,David Colindres
107,43559,3,SAP,HAJ,0,A,David Colindres
108,43559,7,FLL,MIA,10,A,David Colindres
109,43559,1,HAJ,SAP,-50,B,David Colindres
110,43559,8,FLL,SAP,0,A,David Colindres
111,43559,8,TEG,SAP,30,A,David Colindres
112,43559,1,SAP,HAJ,20,A,David Colindres
115,43559,1,TEG,SAP,20,A,David Colindres
116,43559,4,FLL,MIA,10,A,David Colindres
117,43559,2,MIA,FLL,-20,A,David Colindres
118,43559,8,HHN,HAJ,-70,C,David Colindres
119,43559,5,HAJ,SAP,-20,A,David Colindres
120,43559,1,FLL,MIA,20,A,David Colindres
121,43559,7,MIA,FLL,-20,A,David Colindres
123,43559,10,TEG,FLL,50,B,David Colindres
124,43559,7,SAP,HHN,70,C,David Colindres
125,43559,10,HAJ,SAP,50,B,David Colindres
126,43559,6,HAJ,SAP,10,A,David Colindres
127,43559,5,MIA,FLL,70,C,David Colindres
128,43559,4,HHN,SAP,60,C,David Colindres
129,43559,6,MIA,TEG,0,A,David Colindres
130,43559,9,FLL,SAP,50,B,David Colindres
131,43559,8,SAP,HAJ,60,C,David Colindres
132,43559,2,SAP,HAJ,-20,A,David Colindres
133,43559,3,HAJ,SAP,40,B,David Colindres
134,43559,4,HAJ,MIA,30,A,David Colindres
135,43559,9,TEG,HAJ,-10,A,David Colindres
136,43559,2,TEG,SAP,0,A,David Colindres
137,43559,5,TEG,HHN,60,C,David Colindres
139,43559,2,HAJ,SAP,-20,A,David Colindres
141,43559,7,HHN,SAP,-30,A,David Colindres
142,43559,1,FLL,SAP,-50,B,David Colindres
143,43559,2,SAP,FLL,20,A,David Colindres
144,43559,4,TEG,SAP,40,B,David Colindres
145,43559,10,TEG,SAP,0,A,David Colindres
148,43560,1,HAJ,SAP,50,B,Maximilian Call
149,43560,8,TEG,SAP,0,A,Maximilian Call
150,43560,7,TEG,FLL,-30,A,Maximilian Call
151,43560,5,FLL,SAP,40,B,Maximilian Call
152,43560,10,HAJ,SAP,50,B,Maximilian Call
153,43560,7,HAJ,TEG,-90,C,Maximilian Call
154,43560,10,MIA,SAP,0,A,Maximilian Call
155,43560,1,HHN,HAJ,-50,B,Maximilian Call
156,43560,6,MIA,TEG,-10,A,Maximilian Call
157,43560,8,FLL,SAP,-60,C,Maximilian Call
158,43560,3,SAP,MIA,-10,A,Maximilian Call
159,43560,9,FLL,HAJ,10,A,Maximilian Call
160,43560,6,SAP,MIA,-10,A,Maximilian Call
161,43560,10,MIA,HHN,50,B,Maximilian Call
163,43560,4,HHN,SAP,70,C,Maximilian Call
164,43560,5,MIA,FLL,70,C,Maximilian Call
165,43560,5,HAJ,HHN,0,A,Maximilian Call
166,43560,9,HAJ,SAP,0,A,Maximilian Call
167,43560,2,HAJ,SAP,-10,A,Maximilian Call
168,43560,6,SAP,MIA,-60,C,Maximilian Call
169,43560,5,HHN,SAP,70,C,Maximilian Call
172,43560,2,TEG,SAP,-60,C,Maximilian Call
173,43560,1,TEG,SAP,-50,B,Maximilian Call
175,43560,8,HAJ,MIA,-70,C,Maximilian Call
176,43560,1,MIA,HHN,20,A,Maximilian Call
178,43561,8,HHN,SAP,20,A,Muilin Mills
179,43561,1,HAJ,SAP,-70,C,Muilin Mills
180,43561,5,HAJ,SAP,-10,A,Muilin Mills
181,43561,6,SAP,MIA,-70,C,Muilin Mills
182,43561,2,HHN,HAJ,-20,A,Muilin Mills
183,43561,8,MIA,HAJ,-20,A,Muilin Mills
184,43561,10,FLL,MIA,0,A,Muilin Mills
185,43561,9,SAP,HHN,10,A,Muilin Mills
186,43561,3,FLL,HAJ,0,A,Muilin Mills
188,43561,6,TEG,FLL,80,C,Muilin Mills
189,43561,1,SAP,MIA,-10,A,Muilin Mills
190,43561,6,MIA,FLL,0,A,Muilin Mills
191,43561,4,FLL,SAP,-30,A,Muilin Mills
193,43561,6,FLL,SAP,0,A,Muilin Mills
194,43561,10,FLL,TEG,0,A,Muilin Mills
195,43561,8,HHN,SAP,0,A,Muilin Mills
196,43561,1,HHN,HAJ,0,A,Muilin Mills
197,43561,7,MIA,TEG,80,C,Muilin Mills
198,43561,7,SAP,FLL,60,C,Muilin Mills
200,43561,2,TEG,SAP,-50,B,Muilin Mills
201,43561,8,TEG,HAJ,-20,A,Muilin Mills
203,43561,3,HAJ,MIA,-50,B,Muilin Mills
204,43561,6,MIA,HHN,-60,C,Muilin Mills
205,43561,1,HHN,FLL,-10,A,Muilin Mills
206,43561,2,FLL,SAP,-20,A,Muilin Mills
208,43562,2,SAP,HAJ,-30,A,Gianni Falk
209,43562,5,HHN,SAP,-10,A,Gianni Falk
210,43562,7,MIA,SAP,-10,A,Gianni Falk
211,43562,7,MIA,FLL,60,C,Gianni Falk
212,43562,9,SAP,HHN,40,B,Gianni Falk
213,43562,9,FLL,MIA,-50,B,Gianni Falk
214,43562,5,SAP,FLL,-30,A,Gianni Falk
215,43562,6,TEG,SAP,20,A,Gianni Falk
216,43562,2,SAP,HHN,30,A,Gianni Falk
217,43562,9,MIA,SAP,50,B,Gianni Falk
218,43562,7,HAJ,TEG,-10,A,Gianni Falk
219,43562,10,SAP,FLL,-40,B,Gianni Falk
220,43562,5,FLL,SAP,-50,B,Gianni Falk
222,43562,2,TEG,SAP,40,B,Gianni Falk
223,43562,10,TEG,HAJ,40,B,Gianni Falk
224,43562,5,TEG,HAJ,-10,A,Gianni Falk
225,43562,3,SAP,MIA,-90,C,Gianni Falk
226,43562,8,SAP,HHN,0,A,Gianni Falk
227,43562,7,FLL,HAJ,0,A,Gianni Falk
229,43562,3,TEG,HAJ,0,A,Gianni Falk
230,43562,3,HAJ,MIA,90,C,Gianni Falk
231,43562,1,HAJ,HHN,20,A,Gianni Falk
232,43562,9,MIA,HHN,0,A,Gianni Falk
233,43562,4,HHN,FLL,-50,B,Gianni Falk
234,43562,9,FLL,SAP,-10,A,Gianni Falk
235,43562,6,SAP,TEG,-40,B,Gianni Falk
236,43562,10,SAP,TEG,-70,C,Gianni Falk
237,43562,8,MIA,TEG,0,A,Gianni Falk
238,43563,8,MIA,HHN,-30,A,Hous Hih
239,43563,6,SAP,HAJ,10,A,Hous Hih
240,43563,3,FLL,SAP,10,A,Hous Hih
241,43563,3,FLL,TEG,-10,A,Hous Hih
242,43563,6,TEG,SAP,0,A,Hous Hih
243,43563,6,MIA,SAP,0,A,Hous Hih
245,43563,4,HHN,HAJ,-70,C,Hous Hih
246,43563,7,TEG,MIA,-30,A,Hous Hih
247,43563,8,HAJ,SAP,0,A,Hous Hih
248,43563,8,HAJ,MIA,-30,A,Hous Hih
249,43563,10,TEG,SAP,-20,A,Hous Hih
250,43564,10,FLL,SAP,-30,A,Cho Ming
251,43564,8,HAJ,HHN,0,A,Cho Ming
252,43564,6,TEG,HAJ,10,A,Cho Ming
253,43564,10,TEG,HAJ,-20,A,Cho Ming
254,43564,1,HAJ,TEG,-20,A,Cho Ming
255,43564,9,FLL,MIA,0,A,Cho Ming
256,43564,10,SAP,MIA,70,C,Cho Ming
257,43564,4,SAP,MIA,50,B,Cho Ming
258,43564,6,HAJ,FLL,60,C,Cho Ming
259,43564,6,HHN,SAP,60,C,Cho Ming
260,43564,6,HHN,FLL,-10,A,Cho Ming
261,43564,3,HAJ,TEG,40,B,Cho Ming
263,43565,1,HHN,SAP,-10,A,Chao Ma
264,43565,2,HAJ,HHN,-20,A,Chao Ma
265,43565,8,HAJ,MIA,70,C,Chao Ma
266,43565,3,HHN,HAJ,-20,A,Chao Ma
267,43565,4,TEG,FLL,-20,A,Chao Ma
268,43565,5,HAJ,FLL,0,A,Chao Ma
269,43565,5,MIA,FLL,40,B,Chao Ma
270,43565,10,MIA,TEG,-10,A,Chao Ma
271,43565,2,SAP,HAJ,10,A,Chao Ma
273,43565,9,HHN,HAJ,60,C,Chao Ma
275,43566,3,SAP,TEG,80,C,JosŽ Perez
276,43566,6,HHN,SAP,50,B,JosŽ Perez
277,43566,8,MIA,FLL,10,A,JosŽ Perez
278,43566,4,SAP,HHN,-30,A,JosŽ Perez
279,43566,8,HAJ,TEG,-80,C,JosŽ Perez
280,43566,1,HHN,SAP,-70,C,JosŽ Perez
281,43566,6,FLL,SAP,0,A,JosŽ Perez
282,43566,7,SAP,HAJ,70,C,JosŽ Perez
283,43566,4,HAJ,HHN,-70,C,JosŽ Perez
284,43566,7,MIA,SAP,-20,A,JosŽ Perez
285,43566,4,SAP,MIA,-50,B,JosŽ Perez
287,43567,10,MIA,HAJ,30,A,Davie Mixal
288,43567,6,SAP,TEG,20,A,Davie Mixal
289,43567,10,FLL,SAP,20,A,Davie Mixal
290,43567,4,MIA,SAP,-30,A,Davie Mixal
291,43567,4,MIA,HAJ,-60,C,Davie Mixal
292,43567,5,SAP,MIA,0,A,Davie Mixal
295,43567,4,HHN,SAP,40,B,Davie Mixal
296,43567,2,FLL,SAP,10,A,Davie Mixal
297,43567,7,MIA,FLL,90,C,Davie Mixal
298,43568,4,FLL,SAP,0,A,Filg Gills
299,43568,4,FLL,HHN,20,A,Filg Gills
300,43568,2,HAJ,FLL,-30,A,Filg Gills
301,43568,10,MIA,SAP,-10,A,Filg Gills
302,43568,7,HHN,SAP,20,A,Filg Gills
303,43568,5,TEG,HAJ,60,C,Filg Gills
305,43568,4,FLL,MIA,20,A,Filg Gills
306,43568,1,FLL,MIA,-30,A,Filg Gills
307,43568,2,TEG,FLL,-10,A,Filg Gills
308,43568,9,MIA,SAP,-60,C,Filg Gills
310,43568,2,SAP,TEG,60,C,Filg Gills
311,43568,5,TEG,HAJ,-50,B,Filg Gills
312,43568,4,FLL,SAP,-50,B,Filg Gills
313,43569,9,TEG,MIA,0,A,Hung Cho
314,43569,4,TEG,SAP,-10,A,Hung Cho
315,43569,9,HHN,TEG,10,A,Hung Cho
316,43569,8,FLL,TEG,-20,A,Hung Cho
317,43569,3,FLL,TEG,10,A,Hung Cho
318,43570,6,HAJ,FLL,-70,C,Filen Filg
319,43570,5,HAJ,MIA,-20,A,Filen Filg
320,43570,7,SAP,HAJ,-20,A,Filen Filg
321,43570,9,TEG,HAJ,60,C,Filen Filg
322,43570,6,TEG,HAJ,0,A,Filen Filg
323,43571,5,HHN,SAP,-50,B,Arthur Maxwell
324,43571,1,HHN,FLL,30,A,Arthur Maxwell
326,43571,9,HAJ,MIA,-10,A,Arthur Maxwell
327,43571,2,HAJ,HHN,-10,A,Arthur Maxwell
328,43571,1,FLL,TEG,40,B,Arthur Maxwell
329,43571,5,FLL,MIA,50,B,Arthur Maxwell
331,43571,10,TEG,HAJ,-20,A,Arthur Maxwell
332,43571,1,MIA,FLL,-20,A,Arthur Maxwell
333,43571,8,SAP,TEG,-20,A,Arthur Maxwell
334,43571,3,SAP,MIA,0,A,Arthur Maxwell
335,43571,3,SAP,FLL,10,A,Arthur Maxwell
336,43571,9,HHN,MIA,20,A,Arthur Maxwell
337,43571,3,TEG,SAP,20,A,Arthur Maxwell
338,43571,1,HAJ,MIA,-60,C,Arthur Maxwell
339,43571,10,SAP,MIA,80,C,Arthur Maxwell
340,43571,9,MIA,TEG,10,A,Arthur Maxwell
343,43571,4,SAP,FLL,-50,B,Arthur Maxwell
344,43571,5,FLL,SAP,0,A,Arthur Maxwell
345,43571,8,SAP,MIA,0,A,Arthur Maxwell
346,43571,9,HHN,TEG,10,A,Arthur Maxwell
347,43572,1,SAP,MIA,0,A,Carlos Miranda
348,43572,7,FLL,SAP,-10,A,Carlos Miranda
350,43572,4,HHN,FLL,0,A,Carlos Miranda
351,43572,2,HHN,SAP,-20,A,Carlos Miranda
352,43572,6,TEG,HAJ,-20,A,Carlos Miranda
353,43572,7,SAP,FLL,50,B,Carlos Miranda
354,43572,7,SAP,HAJ,50,B,Carlos Miranda
355,43572,3,HAJ,HHN,-30,A,Carlos Miranda
356,43572,5,FLL,TEG,40,B,Carlos Miranda
357,43572,6,MIA,HAJ,70,C,Carlos Miranda
358,43572,6,SAP,FLL,-70,C,Carlos Miranda
359,43572,8,MIA,SAP,-10,A,Carlos Miranda
360,43572,10,SAP,FLL,-30,A,Carlos Miranda
362,43572,8,HHN,FLL,40,B,Carlos Miranda
363,43572,10,HAJ,FLL,-50,B,Carlos Miranda
364,43572,9,FLL,HAJ,0,A,Carlos Miranda
365,43572,5,SAP,TEG,30,A,Carlos Miranda
367,43572,1,MIA,SAP,0,A,Carlos Miranda
368,43572,6,TEG,SAP,20,A,Carlos Miranda
369,43572,10,MIA,FLL,-30,A,Carlos Miranda
370,43572,7,SAP,HAJ,-50,B,Carlos Miranda
371,43573,5,MIA,FLL,0,A,Denis Tercero
372,43573,1,TEG,MIA,-30,A,Denis Tercero
375,43573,5,SAP,MIA,-20,A,Denis Tercero
376,43573,8,HAJ,MIA,0,A,Denis Tercero
377,43573,1,MIA,SAP,-30,A,Denis Tercero
378,43573,9,SAP,HHN,0,A,Denis Tercero
379,43573,7,HHN,SAP,0,A,Denis Tercero
380,43573,7,SAP,HAJ,50,B,Denis Tercero
381,43573,7,FLL,HHN,0,A,Denis Tercero
382,43573,10,HAJ,SAP,80,C,Denis Tercero
383,43573,5,FLL,SAP,50,B,Denis Tercero
384,43573,10,TEG,SAP,0,A,Denis Tercero
385,43573,10,MIA,HHN,-40,B,Denis Tercero
386,43573,8,SAP,TEG,0,A,Denis Tercero
387,43573,3,HHN,SAP,-30,A,Denis Tercero
388,43573,1,SAP,HHN,60,C,Denis Tercero
389,43573,8,SAP,HAJ,-30,A,Denis Tercero
391,43573,7,FLL,MIA,50,B,Denis Tercero
392,43573,6,HAJ,SAP,0,A,Denis Tercero
393,43573,6,FLL,SAP,30,A,Denis Tercero
394,43573,3,HAJ,HHN,0,A,Denis Tercero
395,43574,5,MIA,FLL,-90,C,David German
396,43574,8,FLL,MIA,-50,B,David German
398,43574,1,SAP,TEG,10,A,David German
399,43574,1,SAP,MIA,-30,A,David German
401,43574,1,HHN,SAP,30,A,David German
402,43574,8,TEG,SAP,80,C,David German
403,43574,3,HAJ,MIA,-40,B,David German
404,43574,2,FLL,SAP,-60,C,David German
405,43574,8,MIA,HAJ,0,A,David German
406,43574,2,HHN,SAP,-30,A,David German
407,43575,3,FLL,SAP,40,B,Charles Moll
408,43575,3,TEG,FLL,0,A,Charles Moll
409,43575,3,SAP,TEG,30,A,Charles Moll
410,43575,7,MIA,HAJ,-60,C,Charles Moll
411,43575,9,SAP,FLL,10,A,Charles Moll
415,43575,10,HHN,FLL,30,A,Charles Moll
416,43575,4,SAP,TEG,-20,A,Charles Moll
417,43575,10,FLL,MIA,-30,A,Charles Moll
418,43575,4,SAP,MIA,0,A,Charles Moll
419,43576,10,TEG,SAP,30,A,Joe Hulson
420,43576,5,HAJ,TEG,10,A,Joe Hulson
421,43576,10,SAP,HAJ,-10,A,Joe Hulson
422,43576,9,FLL,HHN,20,A,Joe Hulson
423,43576,5,HAJ,SAP,30,A,Joe Hulson
425,43576,8,TEG,HAJ,-20,A,Joe Hulson
426,43576,7,MIA,HHN,-40,B,Joe Hulson
427,43576,6,SAP,TEG,-50,B,Joe Hulson
428,43576,1,SAP,HAJ,0,A,Joe Hulson
429,43576,5,SAP,FLL,-40,B,Joe Hulson
430,43576,9,MIA,FLL,-20,A,Joe Hulson
432,43576,4,TEG,HAJ,70,C,Joe Hulson
433,43576,6,HHN,MIA,-40,B,Joe Hulson
434,43576,5,HHN,SAP,-10,A,Joe Hulson
435,43576,10,MIA,TEG,-70,C,Joe Hulson
436,43576,5,HAJ,SAP,0,A,Joe Hulson
437,43576,6,SAP,HHN,20,A,Joe Hulson
439,43576,7,MIA,SAP,20,A,Joe Hulson
440,43576,6,SAP,MIA,-40,B,Joe Hulson
441,43576,9,SAP,HAJ,-20,A,Joe Hulson
443,43576,1,TEG,HAJ,30,A,Joe Hulson
445,43576,8,TEG,HAJ,20,A,Joe Hulson
446,43576,1,MIA,FLL,10,A,Joe Hulson
447,43576,10,HAJ,MIA,-10,A,Joe Hulson
449,43576,1,HAJ,HHN,20,A,Joe Hulson
450,43576,2,FLL,SAP,-20,A,Joe Hulson
451,43576,5,MIA,FLL,-50,B,Joe Hulson
452,43576,6,SAP,HAJ,-70,C,Joe Hulson
453,43576,9,HHN,FLL,40,B,Joe Hulson
454,43576,1,SAP,HAJ,-10,A,Joe Hulson
455,43576,8,FLL,SAP,40,B,Joe Hulson
456,43576,9,HAJ,MIA,0,A,Joe Hulson
458,43576,2,MIA,HHN,0,A,Joe Hulson
459,43576,7,SAP,MIA,-20,A,Joe Hulson
460,43576,8,SAP,TEG,30,A,Joe Hulson
461,43576,5,MIA,HHN,50,B,Joe Hulson
462,43576,9,TEG,SAP,-10,A,Joe Hulson
463,43576,1,HHN,MIA,40,B,Joe Hulson
464,43576,9,SAP,FLL,-50,B,Joe Hulson
465,43576,1,HHN,HAJ,-30,A,Joe Hulson
467,43576,8,FLL,HHN,-30,A,Joe Hulson
469,43576,1,HAJ,MIA,10,A,Joe Hulson
470,43576,7,SAP,HHN,50,B,Joe Hulson
472,43576,4,SAP,MIA,60,C,Joe Hulson
473,43576,1,HAJ,SAP,0,A,Joe Hulson
474,43576,2,HHN,SAP,0,A,Joe Hulson
475,43576,9,FLL,SAP,10,A,Joe Hulson
476,43576,6,SAP,TEG,-40,B,Joe Hulson
477,43576,9,SAP,MIA,50,B,Joe Hulson
478,43576,2,SAP,TEG,-10,A,Joe Hulson
479,43576,4,SAP,TEG,60,C,Joe Hulson
480,43576,4,SAP,HAJ,-20,A,Joe Hulson
481,43576,7,MIA,HAJ,10,A,Joe Hulson
482,43576,4,SAP,HAJ,20,A,Joe Hulson
483,43576,7,FLL,MIA,-70,C,Joe Hulson
484,43576,8,SAP,HHN,-10,A,Joe Hulson
485,43576,4,SAP,FLL,40,B,Joe Hulson
486,43576,8,HAJ,FLL,0,A,Joe Hulson
487,43576,4,MIA,SAP,50,B,Joe Hulson
488,43576,3,SAP,TEG,60,C,Joe Hulson
490,43576,7,HAJ,SAP,40,B,Joe Hulson
491,43576,5,MIA,SAP,-30,A,Joe Hulson
492,43576,7,HHN,SAP,20,A,Joe Hulson
493,43576,9,HAJ,HHN,-20,A,Joe Hulson
494,43576,5,HAJ,MIA,-70,C,Joe Hulson
495,43576,7,FLL,TEG,-60,C,Joe Hulson
496,43576,5,TEG,FLL,40,B,Joe Hulson
497,43576,4,FLL,HHN,20,A,Joe Hulson
498,43576,2,MIA,SAP,30,A,Joe Hulson
499,43576,10,HHN,MIA,70,C,Joe Hulson
500,43576,8,MIA,SAP,-10,A,Joe Hulson
501,43576,10,SAP,HHN,0,A,Joe Hulson
502,43576,9,SAP,HAJ,-20,A,Joe Hulson
503,43576,1,FLL,TEG,0,A,Joe Hulson
504,43576,10,SAP,HHN,-60,C,Joe Hulson
505,43576,7,HHN,SAP,-20,A,Joe Hulson
506,43576,10,SAP,HAJ,10,A,Joe Hulson
508,43576,4,SAP,MIA,-20,A,Joe Hulson
510,43576,10,SAP,TEG,20,A,Joe Hulson
511,43576,6,MIA,HHN,-50,B,Joe Hulson
512,43576,5,TEG,SAP,30,A,Joe Hulson
513,43576,4,HHN,MIA,0,A,Joe Hulson
514,43576,5,SAP,TEG,-10,A,Joe Hulson
515,43576,8,SAP,TEG,-10,A,Joe Hulson
516,43576,6,MIA,HHN,-60,C,Joe Hulson
517,43576,6,MIA,HAJ,0,A,Joe Hulson
520,43576,2,HHN,SAP,10,A,Joe Hulson
521,43576,2,HAJ,MIA,-10,A,Joe Hulson
522,43576,9,SAP,TEG,-50,B,Joe Hulson
523,43576,6,FLL,SAP,50,B,Joe Hulson
524,43576,8,HAJ,MIA,20,A,Joe Hulson
525,43576,7,FLL,SAP,10,A,Joe Hulson
526,43576,5,SAP,FLL,10,A,Joe Hulson
528,43576,5,MIA,TEG,-60,C,Joe Hulson
529,43576,1,HAJ,TEG,70,C,Joe Hulson
530,43576,4,TEG,HHN,-50,B,Joe Hulson
531,43576,6,HHN,SAP,0,A,Joe Hulson
532,43576,6,HHN,HAJ,0,A,Joe Hulson
533,43576,1,HAJ,SAP,0,A,Joe Hulson
534,43576,8,TEG,HAJ,-20,A,Joe Hulson
535,43576,3,SAP,HAJ,20,A,Joe Hulson
536,43576,5,SAP,TEG,-40,B,Joe Hulson
538,43576,3,MIA,SAP,20,A,Joe Hulson
539,43576,1,SAP,MIA,30,A,Joe Hulson
540,43576,3,TEG,SAP,50,B,Joe Hulson
541,43576,6,HHN,SAP,40,B,Joe Hulson
546,43576,4,HHN,MIA,20,A,Joe Hulson
547,43576,10,HAJ,TEG,20,A,Joe Hulson
549,43576,5,FLL,HHN,-30,A,Joe Hulson
550,43576,7,MIA,SAP,0,A,Joe Hulson
552,43576,3,HAJ,SAP,-70,C,Joe Hulson
553,43576,1,FLL,HHN,50,B,Joe Hulson
556,43576,9,MIA,SAP,-60,C,Joe Hulson
557,43576,7,SAP,MIA,0,A,Joe Hulson
558,43576,2,MIA,SAP,40,B,Joe Hulson
559,43576,4,FLL,SAP,0,A,Joe Hulson
560,43576,2,HAJ,HHN,-40,B,Joe Hulson
561,43576,5,FLL,SAP,30,A,Joe Hulson
563,43576,1,SAP,TEG,10,A,Joe Hulson
564,43576,6,MIA,FLL,-30,A,Joe Hulson
565,43576,5,HAJ,MIA,20,A,Joe Hulson
567,43576,7,TEG,MIA,-30,A,Joe Hulson
568,43576,8,SAP,FLL,-10,A,Joe Hulson
569,43576,10,HHN,HAJ,10,A,Joe Hulson
570,43576,6,MIA,HAJ,-70,C,Joe Hulson
572,43576,9,MIA,HAJ,60,C,Joe Hulson
574,43576,5,HHN,SAP,70,C,Joe Hulson
575,43576,1,HAJ,SAP,0,A,Joe Hulson
576,43576,2,TEG,FLL,40,B,Joe Hulson
577,43576,10,FLL,HAJ,10,A,Joe Hulson
578,43576,5,HAJ,SAP,40,B,Joe Hulson
580,43576,1,SAP,MIA,-90,C,Joe Hulson
581,43576,2,SAP,TEG,-20,A,Joe Hulson
583,43576,3,SAP,FLL,-10,A,Joe Hulson
584,43576,7,SAP,HAJ,50,B,Joe Hulson
588,43576,1,FLL,HAJ,-30,A,Joe Hulson
589,43576,8,HAJ,FLL,0,A,Joe Hulson
591,43576,1,SAP,HAJ,30,A,Joe Hulson
592,43576,1,FLL,SAP,-10,A,Joe Hulson
593,43576,8,HAJ,MIA,50,B,Joe Hulson
594,43576,9,TEG,SAP,0,A,Joe Hulson
595,43576,4,SAP,FLL,70,C,Joe Hulson
596,43576,10,MIA,SAP,20,A,Joe Hulson
597,43576,3,SAP,MIA,0,A,Joe Hulson
598,43576,4,FLL,HAJ,10,A,Joe Hulson
599,43576,4,TEG,MIA,90,C,Joe Hulson
